,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
67,Makkar Medical Centre,"Nirman Vihar, Delhi",8.0,10.0,https://www.practo.com/delhi/hospital/makkar-medical-centre-laxmi-nagar
68,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30.0,80.0,https://www.practo.com/delhi/hospital/goyal-hospital-urology-center-krishna-nagar
69,Netrayatan Eye & Ivf Hospital,"Greater Kailash Part 2, Delhi",2.0,10.0,https://www.practo.com/delhi/hospital/netrayatan-hospital-greater-kailash-part-ii-2
70,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15.0,100.0,https://www.practo.com/delhi/hospital/jeevan-anmol-hospital-mayur-vihar-ph-i
71,K. R. Hospital,"Chattarpur, Delhi",2.0,,https://www.practo.com/delhi/hospital/k-r-hospital-chattarpur
72,Adiva Super-Speciality Care,"Green Park, Delhi",2.0,50.0,https://www.practo.com/delhi/hospital/sukhmani-hospital-vasant-kunj
73,Jeevan Jyoti Hospital - Uttam Nagar,"Uttam Nagar, Delhi",9.0,,https://www.practo.com/delhi/hospital/jeevan-jyoti-hospital-uttam-nagar-uttam-nagar
74,K.K.Hospital,"Peeragarhi, Delhi",7.0,,https://www.practo.com/delhi/hospital/k-k-hospital-peeragarhi
75,Sankhwar Hospital,"Kondli, Delhi",11.0,100.0,https://www.practo.com/delhi/hospital/sankhwar-hospital-mayur-vihar-ph-iii
76,Seva Dham Plus Hospital,"Hazrat Nizamuddin, Delhi",1.0,,https://www.practo.com/delhi/hospital/seva-dham-plus-hospital-hazrat-nizamuddin
77,Sir Ganga Ram Kolmet Hospital,"Old Rajendra Nagar, Delhi",5.0,40.0,https://www.practo.com/delhi/hospital/kolmet-hospital-pusa-road-1
78,Daya Memorial Hospital,"Munirka, Delhi",9.0,,https://www.practo.com/delhi/hospital/daya-memorial-hospital-munirka-1
79,Maharaja Agrasen Hospital,"Punjabi Bagh, Delhi",20.0,150.0,https://www.practo.com/delhi/hospital/maharaja-agrasen-hospital-punjabi-bagh-2
80,Gupta Mulitispeciality Hospital,"Vivek Vihar, Delhi",9.0,50.0,https://www.practo.com/delhi/hospital/gupta-mulitispeciality-hospital-vivek-vihar
81,Arcus Superspeciality Medicentre,"Dwarka, Delhi",7.0,,https://www.practo.com/delhi/hospital/arcus-superspeciality-medicentre-dwarka
82,Surya Hospital - Krishna Nagar,"Krishna Nagar, Delhi",1.0,50.0,https://www.practo.com/delhi/hospital/surya-hospital-krishna-nagar-krishna-nagar-1
83,World Brain Center Hospital,"Uttam Nagar, Delhi",4.0,31.0,https://www.practo.com/delhi/hospital/world-brain-center-hospital-janak-puri
84,Sunder Lal Jain Hospital,"Ashok Vihar, Delhi",11.0,10.0,https://www.practo.com/delhi/hospital/sunder-lal-jain-hospital-ashok-vihar-new-delhi
85,Max Super Speciality Hospital,"Patparganj, Delhi",44.0,50.0,https://www.practo.com/delhi/hospital/max-balaji-hospital-patparganj
86,Vardaan Hospital,"Malviya Nagar, Delhi",22.0,,https://www.practo.com/delhi/hospital/vardaan-hospital-malviya-nagar
87,Centre for Sight - Safdarjung Enclave,"Safdarjung Enclave, Delhi",16.0,,https://www.practo.com/delhi/hospital/center-for-sight-safdarjung-enclave-safdarjung-enclave
88,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16.0,102.0,https://www.practo.com/delhi/hospital/rlkc-hospital-metro-heart-institute-pandav-nagar
89,R G Stone Urology & Laparoscopy Hospital,"Rajouri Garden, Delhi",4.0,15.0,https://www.practo.com/delhi/hospital/r-g-stone-urology-laparoscopy-hospital-rajouri-garden
90,Mohan eye institute,"Karol Bagh, Delhi",8.0,,https://www.practo.com/delhi/hospital/mohan-eye-institute-karol-bagh
91,Lotus Hospital ,"Hari Nagar, Delhi",8.0,,https://www.practo.com/delhi/hospital/lotus-hospital-hari-nagar
92,Fortis Escorts,"Okhla, Delhi",53.0,310.0,https://www.practo.com/delhi/hospital/fortis-escorts-heart-institute-okhla-2
93,Bimla Devi Hospital,"Mayur Vihar Ph-II, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/bimla-devi-hospital-mayur-vihar-ph-ii
94,Fortis La Femme,"Greater Kailash Part 2, Delhi",45.0,38.0,https://www.practo.com/delhi/hospital/fortis-hospital-greater-kailash-part-2-1
95,Venkateshwar Hospital,"Dwarka, Delhi",35.0,325.0,https://www.practo.com/delhi/hospital/venkateshwar-hospital-dwarka
96,Mata Roop Rani Maggo Hospital,"Uttam Nagar, Delhi",22.0,40.0,https://www.practo.com/delhi/hospital/mata-roop-rani-maggo-hospital-uttam-nagar-3
97,Primus Super Speciality Hospital,"Chanakyapuri, Delhi",26.0,150.0,https://www.practo.com/delhi/hospital/primus-superspeciality-hospital-chanakyapuri
98,Bharti Eye Foundation,"Patel Nagar, Delhi",7.0,,https://www.practo.com/delhi/hospital/bharti-eye-foundation-patel-nagar
99,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",13.0,100.0,https://www.practo.com/delhi/hospital/brahm-shakti-hospital-research-centre-rohini
100,Ashoka Nursing Home & Multispeciality Hospital,"Krishna Nagar, Delhi",3.0,100.0,https://www.practo.com/delhi/hospital/ashoka-nursing-home-krishna-nagar
101,Bensups Hospital,"Dwarka, Delhi",5.0,,https://www.practo.com/delhi/hospital/bensups-hospital-dwarka-1
102,Artemis Hospitals,"Dwarka, Delhi",4.0,50.0,https://www.practo.com/delhi/hospital/aetemis-hospitals-rohini
103,Shyama Hospital ,"Dwarka, Delhi",2.0,28.0,https://www.practo.com/delhi/hospital/shyama-hospital-mahavir-enclave
104,Indraprastha Apollo Hospital,"Jasola, Delhi",1.0,10.0,https://www.practo.com/delhi/hospital/indraprastha-apollo-hospital-sarita-vihar-2
105,Bharti Eye Hospital,"Greater Kailash Part 1, Delhi",7.0,10.0,https://www.practo.com/delhi/hospital/bharti-eye-hospital-greater-kailash-part-i-1
106,Psycare,"Jasola, Delhi",10.0,30.0,https://www.practo.com/delhi/hospital/psycare-jasola-1
107,Shyam Hospital,"Delhi, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/shyam-hospital-new-raj-nagar
108,Sushma Jindal Hospital,"Dilshad Garden, Delhi",2.0,,https://www.practo.com/delhi/hospital/sushma-jindal-hospital-dilshad-garden
109,Shri Jiyalal Hospital,"Peeragarhi, Delhi",15.0,,https://www.practo.com/delhi/hospital/shri-jiyalal-hospital-peeragarhi
110,Sunrise Hospitals,"East Of Kailash, Delhi",4.0,250.0,https://www.practo.com/delhi/hospital/sunrise-hospitals-new-friends-colony
111,Centre for Sight - Preet Vihar,"Preet Vihar, Delhi",6.0,,https://www.practo.com/delhi/hospital/center-for-sight-preet-vihar-preet-vihar
112,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27.0,100.0,https://www.practo.com/delhi/hospital/mgs-hospital-punjabi-bagh
113,Avantika Hospital,"Rohini, Delhi",3.0,8.0,https://www.practo.com/delhi/hospital/avantika-hospital-rohini
114,Fortis Aashlok Hospital,"Safdarjung Enclave, Delhi",14.0,30.0,https://www.practo.com/delhi/hospital/fortis-aashlok-hospital-safdarjung-enclave-1
115,Central Hospital,"Ganesh Nagar, Delhi",3.0,25.0,https://www.practo.com/delhi/hospital/central-hospital-tilak-nagar-1
116,Arya Hospital ,"Janak Puri, Delhi",11.0,,https://www.practo.com/delhi/hospital/arya-hospital-janak-puri
117,Ayushman Hospital ,"Dwarka, Delhi",26.0,,https://www.practo.com/delhi/hospital/ayushman-hospital-parliament-street
118,Sama Hospital,"August Kranti Marg, Delhi",27.0,31.0,https://www.practo.com/delhi/hospital/sama-hospital-august-kranti-marg
