,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
69,Asha Hospital,"Banjara Hills, Hyderabad",12.0,200.0,https://www.practo.com/hyderabad/hospital/asha-hospital-banjara-hills
70,Surekha Hospital,"Kompally, Hyderabad",2.0,50.0,https://www.practo.com/hyderabad/hospital/surekha-hospital-kompally
71,Janapareddy Hospital - Mother & Child,"Kompally, Hyderabad",4.0,75.0,https://www.practo.com/hyderabad/hospital/janapareddy-hospital-kompally-mother-child-kompally
72,Balaji Hospital,"Kompally, Hyderabad",4.0,100.0,https://www.practo.com/hyderabad/hospital/balaji-hospital-kompally
73,Saptagiri Hospital,"Chaitanyapuri, Hyderabad",4.0,50.0,https://www.practo.com/hyderabad/hospital/saptagiri-hospital-dilsukh-nagar
74,Eswar Eye Hospital,"Kukatpally, Hyderabad",6.0,10.0,https://www.practo.com/hyderabad/hospital/eswar-eye-hospital-kukatpally
75,Dr. Rao's ENT Super Speciality International Hospital,"KPHB, Hyderabad",4.0,100.0,https://www.practo.com/hyderabad/hospital/dr-rao-s-ent-super-speciality-international-hospital-punjagutta-1
76,Kirloskar Hospital,"Basheerbagh, Hyderabad",5.0,50.0,https://www.practo.com/hyderabad/hospital/kirloskar-hospital-1-basheerbagh
77,Goodwill Hospital - Kidney And Surgical Centre,"Banjara Hills, Hyderabad",12.0,60.0,https://www.practo.com/hyderabad/hospital/goodwill-hospital-kidney-and-surgical-centre-masab-tank
78,Vasundhara Hospital,"Moosapet, Hyderabad",6.0,,https://www.practo.com/hyderabad/hospital/vasundhara-hospital-moosapet
79,Sai Teja Hospital,"Miyapur, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/sai-teja-hospital-miyapur
80,Sri Visista Super Speciality Ayurveda,"Punjagutta, Hyderabad",4.0,,https://www.practo.com/hyderabad/hospital/sri-visista-super-speciality-ayurveda-somajiguda
