,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
125,Sangamerkar Hospital,"Wadgaon Sheri, Pune",3.0,30.0,https://www.practo.com/pune/hospital/sangamerkar-hospital-wadgaon-sheri
126,Sant Hospital,"Vadgaon, Pune",2.0,,https://www.practo.com/pune/hospital/sant-hospital-viman-nagar
127,Anand Hospital - Chakan,"Chakan, Pune",2.0,,https://www.practo.com/pune/hospital/anand-hospital-chakan-chakan
128,Gnadhi Nursing Home,"Nigdi, Pune",4.0,18.0,https://www.practo.com/pune/hospital/gnadhi-nursing-home-nigdi
129,Jeevanshree Hospital,"Chandan Nagar, Pune",5.0,5.0,https://www.practo.com/pune/hospital/jeevanshree-welcare-chandan-nagar
130,Krishna Hospital,"Sangavi, Pune",1.0,10.0,https://www.practo.com/pune/hospital/krishna-hospital-sangavi
131,Pune International Dental Hospital,"Chinchwad, Pune",10.0,,https://www.practo.com/pune/hospital/pune-international-dental-hospital-chinchwad-chinchwad
132,Lokmanya Multi Speciality Hospital,"Chinchwad, Pune",6.0,103.0,https://www.practo.com/pune/hospital/lokmanya-care-hospital-chinchwad-chinchwad
133,Kulkarni Hospital,"Warje, Pune",23.0,,https://www.practo.com/pune/hospital/kulkarni-hospital-warje
134,Chaitanya Hospital,"Parvati Gaon, Pune",1.0,25.0,https://www.practo.com/pune/hospital/chaitanya-hospital-and-nursing-home-parvati
135,Kaushal Hospital,"Pimpri, Pune",2.0,20.0,https://www.practo.com/pune/hospital/kaushal-clinic-pimpri
136,Sneh ENT Hospital,"Kothrud, Pune",3.0,2.0,https://www.practo.com/pune/hospital/sneh-ent-hospital-pune
137,Shri Samarth Hospital,"Rasta Peth, Pune",1.0,,https://www.practo.com/pune/hospital/shri-samarth-hospital-rasta-peth
138,Tongaonkar Hospital,"Akurdi, Pune",2.0,20.0,https://www.practo.com/pune/hospital/tongaonkar-hospital-akurdi
139,Oyster and Pearl Hospitals,"Bhavani Peth, Pune",1.0,50.0,https://www.practo.com/pune/hospital/oyster-pearl-clinic-pimple-saudagar
140,Sahyadri Munot Hospital,"Bhavani Peth, Pune",21.0,,https://www.practo.com/pune/hospital/sahyadri-munot-hospital-bhavani-peth
141,siddhivinayak hospital & Research Center,"Nasrapur, Pune",7.0,,https://www.practo.com/pune/hospital/siddhivinayak-hospital-research-center-nasrapur
